review,rating
"kasih bintang 2 dulu, udah ga re amah buat hp kentang, sering nge freezer macet",2
paket lambat sekali pas mau beli estimasi sampainya besok pas udah beli berubah estimasi nya uda 3 kali berturut-turut pengiriman lambat sekali lagi barang terlambat saya bakal pindah platform,1
banyak sekali produk yang non cod saya takut barang nya tidak sesuai pesanan,4
goood,5
goood.Mudahan Lebih turboo 🏀🚀,5
sangat baik,5
Baik sekali,5
Error di huawei pad,5
CS BALES LAMA DAN SEMUA KERJANYA LELET MAU REFUND AJA RIBET DAN SETELAHNYA SEMUANYA SELESAI DUITNYA GK KUNJUNG DIBALIKIN,1
Pemula menggunakan Aplikasi ini,4
"tolong untuk seller penjual barang palsu yang tidak sesuai deskripsi harus ditindak oleh tokopedia, supaya para pengguna tokopedia nyaman berbelanja disini",4
ok,5
pesanan dibatalkan sistem tapi saldo bonus tidak di refund rugi 370k saldo bonus hasil ngumpulin harusnya balik lagi saldo bonusnya bukan malah di korupsi sama sistem tokped,1
usia saya 40 tahun sudah pakai paylater kenapa ga bisa beli produk 21+,2
coba daftar affiliate tapi internal server error terus :(,2
aplikasi oke,5
good...,5
Bagus,5
"aplikasi sampah, dana saya tidak kembali setelah 1 bulan proses refund. dan tidak ada kemajuan",1
"tokped sekarang pelit banget najis dlu mah sering bnyk kupon diskon gede tiap bulan sekali, skrg boro boro cmn ada kupon gratis ongkir doang wkwkwk sorry gua turunin bintangnya soalnya tokped jadi pelit semenjak kerja sama sm tiktok",2
aplikasi bagus tapi saya minta pengirimannya itu lebih cepat lagi ya,5
mantap👍,5
okay ini menyebalkan karna saya rencana nya saya mau pesan case harganya 12.900 kan aku udah mau langsung beli.. pas kulihat harganya Rp. 100.000 keatas heran 😭 barangnya cuman 12.900 kok bisa jadi 100 ribu.. tolong ya ongkir nya sangat ² diluar nurul,4
ok bgt,5
hey saya udah nerima paket dari lama tapi di status masih dalam pengiriman anjir apaan dah! mana gue di chat sama kulir di situ gue kaget kok paket gue masih di kirim padahal udah,1
"Tidak ada lagi kupon diskon tidak ada gratis ongkir jadi lawak gini ini e-commerce, uninstall si ijo pindah ke shopee lebih bagus banyak promo ada gratis ongkir Rp.0",1
bagus,4
tolong tokped Banyak penjual penipu blm jg d urus. Satu2nya guna nya marketplace ya jd perantara yg fair dong. Kalau pembeli ada terima penipuan ya marketplacenya bantu biar g d rugiin. Nyesel bgt sumpah pakai ini aplikasi. Ngerugiin bgt. Gk kaya si oren sekali komplain lgsung d proses cpt selesai cs fast respon. Lah cs lukemana semua. Plis netizen ygbaca g usah lg pakai2 apk ijo ini. Banyak penipu tp marketplace g bisa bantu apa2 meskipun refund malah di peribet. Resi d tolak sama kurir.,1
aplikasi udah error ga bisa masuk akun tim IT bermasalah,1
"Kurang suka sama tokped, gatau kenapa yah setiap order barang pasti kelamaan(telat) 1/2 hari bahkan kadang suka lebih, jadi kurang aja gitu nunggunya kelamaan",2
bagus ori,5
"aplikasi keren,bagus,cepat dan banyak promo",5
lama datangnya,2
Aplikasinya tambah besar tambah lemot,1
sangat mudah pemakaian apk ini,5
"cara kerja nya aneh, Barang ilang, dana refund ga jelas, costomer care ngasih jawaban yang ga ngebantu sama sekali! cukup sampe sini pake tokped!",1
coba ganti itu orang2 tokopedia care chat jam 10 pagi di bales jam 1 malem??? orang2 males itu yg kerja.. itubyg gak bener tokopedia care.. ngapain hub lagi!! ganti orang2 nya!!! gak pada niat kerja!!,1
baik dan bermutu,5
mudah untuk transaksi,5
mantap,5
oke lah,5
ok,5
"KAPOK BELANJA DI SINI, PENJUAL GAK AMANAH MLULU, MAU RETURN AJH RIBET tolong identitas penjual data dlu, kalau Gak Bener BLOKIR dri aplikasi",1
okey lah,5
"satu bintang ilang cuman karna nambahin expedisi id express, sumpah expedisi terburuk, sudah banyak orang yang komplain kenapa ga di notice dan masih di pakai itu id express.",4
Mantap,5
sangat oke pelayanan tokpet,5
bagus cuman oknum j&t sangat lambat kirim alasan banyak barang dalam gudangnya,4
mantapp bos...pelayanan nya,5
"Jualan disini Rugi Besar. Suruh digabungin sama tts, tapi gak bisa dilepas lagi. chat gak berurutan, barang banyak ditolak potongan besar, untung cuma 30rb potongannya 31rb, Tambah lagi waktu penyelesaian pesanan diperpanjang jadi 6 hari, ini kurang mendukung UMKM karna modal tidak bisa cepat diputar. lalu kurirnya gak mau pickup. Buruk banget deh pokonya.",1
banyak yang ngeluh barang nya jelek dan ga sesuai pesanan kecewa sangat,1
mantap,5
waktu pengiriman yang lama dan tidak sesuai pesanan,1
mantap,5
"dapet barang cacat, seller ga respon. minta di return dengan pilihan pickup muncul notifikasi ga bisa pickup dan di suruh pilih selain pickup, udah gitu ga ada menu buat mengajukan komplain ulang. kecewa",1
aplikasi ini makin kesini makin kacau ngga bisa ngurus toko yang jualan masa ngirim barang dari tanggal 1 - 13 belum nympe juga,1
aplikasi macam apa nihh kok gak ada fitur chat cs nya dan lebih lengkap aplikasi shoppe maupun lazada,1
"barang belum datang melebihi tanggal yg ditentukan. tapi komplainnya, nunggu 2 hari. apa-apaan ini?",1
nomor hp ga aktif aja GK bisa diubah aneh,1
jos,4
"pengiriman lama dan klo gratis ongkir pesanan tiba² di batalkan dan ga ad info, gimana mau berkembang klo begini bae, padahal sya suka paken apk tokopedia",1
chat csf aja gak bisa buat laporan masalah akun anehh,1
apk gak jelas,1
"sampah, dia yg kasih promo, pas mau check out ga bisa aplikasi lawak",1
siip,5
keren,5
"sejauh ini aplikasi nya bagus si ok,tapi pengiriman nya itu loh lambat bngt bahkan sampe 1 Minggu baru nyampe, tolong dong walopun ada event gratis ongkir tpi kecepatan pengiriman nya jangan selambat itu...",3
alhamdulilah belanja di tokopedia pennngirimannya cepat,5
suara nya berbalik,1
baguss,5
mantap,4
Gratis ongkir min. 10rbubya setiap tanggal 25 gokilll banget mantuuuuul,5
Belajar banyak sama shopee ya. Udah best tu shopee. pencarian barangnya susah sekali,3
Layanan Pengiriman pilihan lebih bervariasi lagi,5
pengiriman dari tokopedia entah kenapa selalu paling lambat sangat sangat lambat dibandingkan dengan toko sebelah dan sama sekali gk ada perubahan.,1
bagus,5
"kak tolong kalau penjual sudah tidak aktif lama langsung di blokir aja masak aku pesen instan 3 jam, sudah tiga hari tidak terkirim",1
aplikasi nya bermanfaat bagi saya,5
TOLONG LAH HAPUS PENGIRIMAN SI CEPAT DARI REKOMENDASI TOKPED KARENA SANGAT2 MENGECEWAKAN!! MASA IYA BARANG SAYA SUDAH SAMPAI DI KOTA TUJUAN DARI HARI JUMAT SAMPAI SEKARANG GA DIANTAR2 KERUMAH??!!! SANGAT TIDAK REKOMEN BANGET SI CEPAT INI!! SUDAH BANYAK KORBANYA KENAPA MASIH DIPERTAHANKAN??!!! JANGAN BUAT KAMI KECEWA DENGAN TOKPED HANYA KARENA PELAYANAN PENGIRIMAN SI CEPAT YANG SUPER LELET INI!! TOLONG SECEPATNYA HAPUS SI CEPAT DAN JANGAN DIREKOMENDASIKAN LAGI!!!!,3
pas aku pakek apk ini kok ngelek terus gamarnya putih terus dan ada peringatan nya tokopedia tidak menanggapi 😥🤔,2
belanja di tokopedia sih bagus kekurangan nya hanya dlm pengiriman ada yg cepat ada yg lama selain itu kurir jarang telp atau wa penerima paket dan sering pengiriman ulang .pada hal penerima ada di tempat .masalah nya di pengiriman jika langsung diantar di kirim oleh lapak ke jasa pengiriman lebih cepat jika nunggu di ambil jasa pengiriman lama krn numpuk di gudang jasa pengiriman .selain itu no telp atau whatsapp kurir juga tdk ada coba kalau ada penerima bisa hubungi kurir nya langsung,5
toko pedia memang bagus,5
pengiriman lamban,3
👍,5
"pelayanan lambat, gak ada fitur live chat adanya ribet doank",1
sangat cepat peng operasuannya,5
good,5
"Minta alamat lengkap kepada penjual tatepi tidak direspon, penjualnya penipu, saya merasa kecewa dengan Tokopedia, saya banyak menemukan penjual yang menipu, tolong di perbaiki lagi, Terimakasih Tampilkan kutipan teks",2
Customer service tidak ada jawaban samsek,1
sangat jelek,1
"fitur gratis ongki nya HOAX,PAS CHECKOUT tetap bayar ongkir,, kalaupun ada bukan gratis,,tapi diskon/potongan,,.heh.. lo bisa bedain ga mana gratis mana diskon? itu label gratis ongkir buat apa ada.. gak berguna tau gak",1
cs nya lama kalau di respon,2
kecewa stiap saya beli barang di batalin sistem terus,1
mantap,5
Saya suka barangnya lengkap dan produk2nya original.. cuma saran metode penggabungan pembayaran bisa diaktifkan kembali seperti pembayaran gopay dengan VA dan lainnya,5
"barang tidak sampai estimasi barang sampai 24 Maret dan sy komplain Tokopedia care tpi jawaban menunggu tgl 3april dan sy menunggu lgi setelah 4april barang tdk sampai sy komplain lgi disuruh tunggu sampai 8april dan sy tunggu lgi Samapi tgl 12 April tdk sampai disuruh tunggu lgi,kayanya tdk ada kepastian yg jelas",1
sejak gabung sama apk pembodohan jadi banyak sampah yg di jual banyak beli yg ga bisa di pakai dah lah mending kek dulu lagi jangan gabung2??,1
sangat bagus,5
9 Mei 2025 pelepasan dana seminggu dan tinggal tunggu saja 9 Mei 2026 pelepasan aplikasi tokopedia di tiap ponsel pengguna seperti bukalapak.,1
platform geblah gebloh,3
mantap,5
ok lah pko nya mah,5
aplikasi beberapa hari sekali keluar akun,1
Katanya pengiriman sameday tapi kenapa udah 4Hari ga sampe2 ....belanja dsini mengecewakan,4
bagus,5
katanya pengguna baru ad gratisan kok GK ada,1
ribet belanja disini,1
ok,5
pembayaran cepat,5
jos,4
terimakasih Tokped,5
"komplain BRG blm sampai, nunggu investigasi .eh bsoknya d transaksi tertulis selesai alias sudah terkirim, tp itu BKN fto rmh saya.",1
tokped mudah dan aman,5
bagai mana cara buat akun Tokopedia....? kok sekarang tidak bisa,5
Banyak promo diskon,5
banyakin diskon dan promo.,5
ok mantaf,5
semogga semua orang banyak disukai tentang apk ini amin,2
good,5
mantap,4
mempermudah,5
"order barang kena ongkir 46500 barang belum di pick up sama sekali lalu di batalkan penjual, dana ongkir 46500 ga balik, ajuin di CS tokopediacare kebanyakan di balas mesin, giliran di balas saya kirim2 bukti detail screenshot nya, eh balasannya suruh nunggu, di cat lagi balasannya pun sama rungu & nunggu, sudah hampir 1 bulan ga kelar2, ya sudah saya ikhlasin saja. KAPOK BELANJA DI TOKOPEDIA atau bahasa FB tokped atau toko ijo mata duitan suka nilap duit orang",1
sangat penting,5
Ok sip Tlkopedia,5
oke,4
ngeri ongkirnya disini. mending di toko orange,1
"Pelayanan nya lelet kaya return aja harus tunggu brp lama ga kaya yg lain langsung otomatis kalo return barang atau dana langsung masuk ini mah harus nunggu dulu, kasus emang penangan nya bikin emosi lama ga gercep udh mah mahal lg harga belanja nya, tolong dong diperbaiki kinerja tokopedia ini jgn kaya gini, kaya anggepan penipuan nama nya nti nya!!!",2
baik,5
TIAP NGIRIM GAMBAR DI CHAT CRASH MULU SATTTT,1
toopp,5
baik,5
saya sebagai seller merasa dirugikan kenapa pesanan selesai uangnya masih ditahan. pakai alasan keamanan. mau merampok ya,1
bisa belanja dengan mudah dan cepat,5
oi kenapa gw gabisa make diskonan malah di batalkan sistem kalo gak niat ngasi diskon jangan ngasi diskon,1
lagi diskon,5
sangat bagus,5
good,5
gue uninstal apk ini garagara di tipu seller tapi pihak tokped ngga ada tanggapannya!,1
Tingkatkan expedisi nya supaya ada pilihan bosku,4
tiga bintang dulu klo bagus tambah lagi,3
sekarang banyak biaya aneka macam,1
ok,5
bagus,5
"saya suka liat 2 produk d toko pedia , semoga laris manis penjualan nya ,dan tidak mengecewakan pembeli .,",5
Ada promo tapi tidak bisa dipakai. potongan 35rb tidak bisa dipakai. gratis ongkir tidak bisa dipakai. padahal belanja di atas 100rb tapi tidak gratis ongkir. emang aneh aplikasi ijo ini. Mending SHOPEE ada ongkir juga bisa pakai yang gratis Rp.0. TOKOPEDIA kalau ada Promo selalu gak bisa dipakai padahal vouchernya ada tersedia 👎👎👎👎👎👎👎,1
tempat belanja yang menyenangkan,5
"Hemat energi demi masa depan, Lifepo4 diantara kita. Semoga manfaat.",5
